,Mar_16_Provisions,Mar_14_Provisions,Mar_13_Sundry_Debtors,Mar_16_Total_Liabilities,Mar_16_Cash_and_Bank,Mar_15_Misc_Expenses,Mar_15_Total_Liabilities,Mar_17_Net_Current_Assessts,Mar_15_Gross_Block,Mar_14_Misc_Expenses,Mar_14_Secured_Loan,Mar_15_Total_Assests,Mar_15_Share_Capital,Mar_13_Misc_Expenses,Mar_13_Reserves_Surplus,Mar_16_Share_Capital,Mar_14_Net_Worth,Mar_16_Depreciation,Mar_16_Total_Current Liabilities,Mar_16_Investments,Mar_14_Share_Capital,Mar_17_Loans_And_Advances,Mar_15_Net_Block,Mar_13_Unsecured_Loan,Mar_17_Misc_Expenses,Mar_15_Reserves_Surplus,Mar_13_Net_Block,Mar_13_Net_Worth,Mar_15_Investments,Mar_14_Net_Current_Assessts,Mar_16_Unsecured_Loan,Mar_17_Total_Current_Assets,Mar_15_Secured_Loan,Mar_15_Total_Current Liabilities,Mar_15_Capital_Work_In_Progress,Mar_15_Current_Liabilities,Mar_16_Reserves_Surplus,Mar_13_Capital_Work_In_Progress,Mar_15_Unsecured_Loan,Mar_13_Depreciation,Mar_13_Net_Current_Assessts,Mar_16_Inventories,Mar_13_Total_Assests,Mar_14_Reserves_Surplus,Mar_14_Total_Liabilities,Mar_13_Total_Current_Assets,Mar_13_Total_Current Liabilities,Mar_13_Inventories,Mar_17_Inventories,Mar_13_Investments,Mar_15_Total_Current_Assets,Mar_15_Net_Worth,Mar_15_Net_Current_Assessts,Mar_13_Cash_and_Bank,Mar_14_Capital_Work_In_Progress,Mar_13_Share_Capital,Mar_13_Total_Liabilities,Mar_16_Misc_Expenses,Mar_17_Current_Liabilities,Mar_14_Sundry_Debtors,Mar_16_Net_Current_Assessts,Mar_13_Loans_And_Advances,Mar_15_Loans_And_Advances,Mar_16_Total_Current_Assets,Mar_14_Loans_And_Advances,Mar_16_Gross_Block,Mar_16_Current_Liabilities,Mar_17_Total_Assests,Mar_14_Total_Current_Assets,Mar_16_Secured_Loan,Mar_14_Unsecured_Loan,Mar_14_Total_Assests,Mar_13_Provisions,Mar_17_Total_Liabilities,Mar_17_Investments,Mar_17_Cash_and_Bank,Mar_14_Cash_and_Bank,Mar_13_Gross_Block,Mar_16_Capital_Work_In_Progress,Mar_17_Provisions,Mar_17_Capital_Work_In_Progress,Mar_14_Depreciation,Mar_15_Provisions,Mar_16_Loans_And_Advances,Mar_15_Inventories,Mar_17_Net_Worth,Mar_15_Cash_and_Bank,Mar_16_Sundry_Debtors,Mar_14_Inventories,Mar_16_Net_Block,Mar_17_Total_Current Liabilities,Mar_17_Gross_Block,Mar_14_Total_Current Liabilities,Mar_17_Depreciation,Mar_13_Secured_Loan,Mar_14_Net_Block,Mar_17_Secured_Loan,Mar_17_Sundry_Debtors,Mar_17_Share_Capital,Mar_17_Unsecured_Loan,Mar_16_Net_Worth,Mar_14_Current_Liabilities,Mar_15_Sundry_Debtors,Mar_13_Current_Liabilities,Mar_16_Total_Assests,Mar_17_Net_Block,Mar_17_Reserves_Surplus,Mar_15_Depreciation,Mar_14_Investments,Mar_14_Gross_Block,Mar_18_Provisions,Mar_18_Total_Current_Assets,Mar_18_Loans_And_Advances,Mar_18_Misc_Expenses,Mar_18_Gross_Block,Mar_18_Net_Worth,Mar_18_Investments,Mar_18_Current_Liabilities,Mar_18_Unsecured_Loan,Mar_18_Secured_Loan,Mar_18_Depreciation,Mar_18_Capital_Work_In_Progress,Mar_18_Sundry_Debtors,Mar_18_Net_Block,Mar_18_Total_Liabilities,Mar_18_Cash_and_Bank,Mar_18_Reserves_Surplus,Mar_18_Share_Capital,Mar_18_Inventories,Mar_18_Total_Assests,Mar_18_Total_Current Liabilities,Mar_18_Net_Current_Assessts,Dec_17_Misc_Expenses,Dec_16_Misc_Expenses,Dec_16_Capital_Work_In_Progress,Dec_16_Share_Capital,Dec_17_Gross_Block,Dec_16_Inventories,Dec_13_Loans_And_Advances,Dec_15_Net_Worth,Dec_13_Reserves_Surplus,Dec_13_Sundry_Debtors,Dec_17_Secured_Loan,Dec_14_Loans_And_Advances,Dec_17_Net_Current_Assessts,Dec_15_Total_Assests,Dec_14_Capital_Work_In_Progress,Dec_15_Misc_Expenses,Dec_17_Reserves_Surplus,Dec_17_Investments,Dec_14_Total_Liabilities,Dec_17_Unsecured_Loan,Dec_16_Total_Current Liabilities,Dec_17_Sundry_Debtors,Dec_13_Cash_and_Bank,Dec_15_Reserves_Surplus,Dec_13_Net_Block,Dec_17_Net_Block,Dec_13_Inventories,Dec_15_Capital_Work_In_Progress,Dec_17_Loans_And_Advances,Dec_13_Net_Current_Assessts,Dec_14_Total_Current Liabilities,Dec_16_Gross_Block,Dec_17_Capital_Work_In_Progress,Dec_13_Investments,Dec_15_Cash_and_Bank,Dec_14_Inventories,Dec_14_Secured_Loan,Dec_14_Net_Block,Dec_16_Net_Current_Assessts,Dec_13_Depreciation,Dec_17_Total_Liabilities,Dec_14_Net_Worth,Dec_17_Share_Capital,Dec_17_Inventories,Dec_14_Total_Assests,Dec_14_Net_Current_Assessts,Dec_16_Sundry_Debtors,Dec_13_Share_Capital,Dec_13_Total_Liabilities,Dec_16_Net_Block,Dec_14_Misc_Expenses,Dec_15_Current_Liabilities,Dec_14_Gross_Block,Dec_16_Loans_And_Advances,Dec_13_Capital_Work_In_Progress,Dec_14_Reserves_Surplus,Dec_14_Depreciation,Dec_14_Unsecured_Loan,Dec_15_Secured_Loan,Dec_13_Net_Worth,Dec_14_Cash_and_Bank,Dec_15_Unsecured_Loan,Dec_16_Current_Liabilities,Dec_17_Provisions,Dec_17_Total_Assests,Dec_15_Gross_Block,Dec_16_Unsecured_Loan,Dec_17_Net_Worth,Dec_15_Depreciation,Dec_15_Total_Current_Assets,Dec_14_Provisions,Dec_16_Investments,Dec_17_Total_Current_Assets,Dec_16_Reserves_Surplus,Dec_15_Net_Current_Assessts,Dec_15_Total_Liabilities,Dec_17_Current_Liabilities,Dec_13_Secured_Loan,Dec_14_Investments,Dec_16_Cash_and_Bank,Dec_15_Investments,Dec_15_Provisions,Dec_16_Total_Current_Assets,Dec_16_Provisions,Dec_14_Share_Capital,Dec_16_Total_Assests,Dec_13_Total_Current Liabilities,Dec_14_Total_Current_Assets,Dec_13_Current_Liabilities,Dec_14_Current_Liabilities,Dec_15_Net_Block,Dec_15_Loans_And_Advances,Dec_15_Total_Current Liabilities,Dec_14_Sundry_Debtors,Dec_13_Misc_Expenses,Dec_13_Total_Current_Assets,Dec_13_Unsecured_Loan,Dec_15_Sundry_Debtors,Dec_17_Depreciation,Dec_17_Cash_and_Bank,Dec_17_Total_Current Liabilities,Dec_15_Share_Capital,Dec_13_Total_Assests,Dec_13_Provisions,Dec_16_Total_Liabilities,Dec_15_Inventories,Dec_16_Depreciation,Dec_13_Gross_Block,Dec_16_Secured_Loan,Dec_16_Net_Worth
RSWM,8.27,53.7,216.07,1745.14,3.96,0.0,1561.53,556.83,2250.4,0.0,1066.23,1561.53,33.4,0.0,303.61,33.4,394.05,149.08,467.44,101.75,23.15,160.92,1034.5,1.23,0.0,409.4,965.81,326.76,90.67,386.57,96.07,1089.91,1118.73,476.66,126.25,442.17,528.9,11.15,0.0,841.12,420.23,426.66,1507.86,370.9,1460.63,762.84,342.6,399.71,541.22,110.67,786.77,442.8,310.11,1.91,13.99,23.15,1507.86,0.0,523.98,236.86,500.19,145.14,186.61,967.63,166.01,1249.16,459.17,1857.31,780.6,1086.77,0.36,1460.63,46.07,1857.31,110.27,7.96,1.47,1806.93,43.11,9.09,24.32,944.92,34.5,166.21,398.64,633.19,4.57,370.8,376.25,1100.09,533.08,1446.28,394.03,280.39,1179.87,932.72,1133.13,379.81,23.55,90.99,562.3,340.33,196.96,296.53,1745.14,1165.89,609.64,1215.89,127.36,1877.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.63,12.31,66.74,0.0,38.05,198.37,175.46,57.95,1.58,27.34,100.87,199.15,0.0,0.0,232.27,119.01,175.71,0.0,49.79,56.93,44.16,185.76,33.19,26.29,0.0,0.0,30.95,73.53,117.98,60.95,0.0,80.36,21.14,0.0,0.63,35.47,73.0,30.42,246.17,175.08,12.32,0.0,175.71,66.15,50.08,12.59,188.49,25.18,0.0,32.59,66.98,32.51,1.41,162.41,31.51,0.0,0.78,188.05,94.14,0.0,28.8,21.35,246.17,54.93,1.07,244.59,31.22,98.01,39.92,121.45,160.91,208.03,47.36,199.15,38.7,0.44,74.09,40.21,128.08,18.07,122.8,20.99,12.67,222.26,66.63,184.12,27.0,78.05,23.71,26.42,50.65,62.64,0.0,140.16,0.0,50.46,40.45,73.03,60.04,12.61,188.49,39.63,222.26,0.0,35.77,63.62,0.84,220.35
RTNINFRA,0.85,0.0,0.0,684.78,1.8,0.0,652.37,87.5,0.09,0.0,0.0,652.37,279.84,0.0,365.15,276.45,638.95,0.04,1.55,592.5,273.42,87.85,0.06,0.0,0.0,372.53,0.05,619.74,592.5,46.42,0.0,88.12,0.0,1.02,0.0,0.38,408.32,0.0,0.0,0.02,27.19,0.0,619.74,365.53,638.95,27.8,0.61,0.0,0.0,592.5,60.83,652.37,59.81,0.06,0.0,254.59,619.74,0.0,0.32,0.0,92.22,27.74,1.25,93.77,46.39,0.09,0.71,680.06,46.48,0.0,0.0,638.95,0.29,680.06,592.5,0.28,0.09,0.06,0.0,0.3,0.0,0.02,0.64,91.97,0.0,680.06,59.58,0.0,0.0,0.06,0.63,0.09,0.07,0.04,0.0,0.04,0.0,0.0,276.45,0.0,684.78,0.07,0.0,0.32,684.78,0.06,403.6,0.03,592.5,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTNPOWER,33.06,7.28,0.0,12724.66,18.23,0.0,11495.07,838.51,6983.16,0.0,5521.86,11495.07,2952.93,0.0,2713.21,2952.93,5290.28,392.36,1459.23,3061.34,2642.73,1724.58,6784.94,25.05,0.0,2361.57,109.66,5355.94,2757.62,1020.21,638.43,2650.79,5880.2,1279.42,1518.05,1243.43,2533.93,5933.34,300.37,8.02,32.94,262.55,8127.96,2647.55,10855.54,2433.52,2400.58,12.93,71.35,2052.02,1713.89,5314.51,434.47,254.44,4541.12,2642.73,8127.96,0.0,1777.9,123.03,1326.39,2166.15,1227.9,2785.61,1379.86,7770.14,1426.16,12363.39,1691.31,6599.37,43.41,10855.54,3.17,12363.39,3372.34,66.12,175.34,117.68,959.16,34.38,737.18,74.08,35.99,1647.84,75.59,4957.96,204.32,856.99,13.08,7377.77,1812.28,8014.71,671.1,599.35,2746.96,2867.03,6270.81,788.74,2952.93,1134.62,5486.86,663.82,206.07,2397.41,12724.66,7415.36,2005.03,198.22,2427.17,2941.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUBYMILLS,10.33,5.39,19.65,727.87,25.44,0.0,688.91,600.96,341.53,0.0,308.18,688.91,4.18,0.0,232.48,8.36,279.6,207.96,243.94,0.0,4.18,742.79,151.25,53.74,0.0,325.6,181.63,236.66,0.0,440.5,64.3,821.95,264.91,334.43,30.26,325.65,359.68,36.43,94.22,152.92,541.49,38.25,759.55,275.42,639.59,799.59,258.11,34.47,40.5,0.0,841.83,329.78,507.4,11.05,29.26,4.18,759.55,0.0,215.43,23.74,563.84,734.42,780.87,807.78,760.87,339.95,233.61,757.69,829.42,295.53,51.8,639.59,2.58,757.69,0.0,24.12,3.18,334.56,32.03,5.56,76.83,170.32,8.78,725.58,39.65,405.61,4.76,18.52,41.63,131.99,220.99,284.15,388.92,204.27,469.15,169.82,352.08,14.54,8.36,0.0,368.04,383.52,16.55,255.52,727.87,79.89,397.25,190.28,0.0,340.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUCHINFRA,4.61,5.7,63.95,437.45,4.18,0.0,491.56,60.75,324.9,0.0,328.9,491.56,75.13,0.0,161.33,75.13,226.04,183.73,220.26,80.53,75.13,68.58,150.99,217.36,0.0,151.33,201.97,236.46,85.82,274.26,0.0,214.99,265.09,543.59,4.59,537.78,142.41,1.93,0.0,222.26,233.53,199.02,545.13,150.91,559.62,641.59,408.06,289.82,14.28,107.7,793.74,226.46,250.15,241.5,0.86,75.13,545.13,0.0,153.86,283.68,203.01,46.33,119.38,423.28,123.05,327.41,215.66,327.56,843.1,219.91,4.69,559.62,6.07,327.56,60.48,15.99,25.59,424.24,10.23,0.39,0.0,240.75,5.81,77.37,530.51,211.5,22.57,142.71,410.79,143.68,154.24,388.48,568.85,182.15,91.31,183.99,116.06,116.14,75.13,0.0,217.54,563.14,121.28,401.99,437.45,206.33,136.37,173.91,100.51,424.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUCHIRA,17.74,12.64,41.84,178.47,1.57,0.0,162.29,31.51,240.62,0.0,69.14,162.29,22.42,0.0,61.39,22.42,95.95,101.43,88.79,0.0,22.42,21.98,148.1,4.97,0.0,82.86,156.12,83.81,0.0,17.63,5.15,122.72,52.21,84.53,0.85,71.05,98.28,0.33,4.8,72.48,15.68,40.86,172.12,73.52,169.88,94.62,78.94,35.36,55.32,0.0,97.87,105.28,13.34,4.59,0.0,22.42,172.12,0.0,71.68,43.57,5.62,12.83,15.96,94.41,15.12,274.27,71.05,213.4,103.25,52.61,4.8,169.88,7.73,213.4,0.0,1.64,3.23,228.59,0.0,19.52,3.4,83.75,13.48,17.56,45.89,152.75,2.02,34.42,41.32,172.84,91.21,290.34,85.61,111.85,83.34,152.25,56.35,43.79,22.42,4.3,120.7,72.98,34.0,71.21,178.47,178.49,130.33,92.52,0.0,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUCHISOYA,14.4,13.4,4246.77,6951.7,141.03,0.0,5455.57,25.11,3866.11,0.0,1267.02,5455.57,68.81,0.0,2290.39,67.29,2338.45,347.67,9500.44,145.71,68.81,1183.1,2373.48,3777.21,0.0,2131.76,2472.75,2366.23,282.3,1932.59,1862.97,7640.8,1376.0,8413.61,100.17,8378.46,2408.11,213.32,1871.95,1030.7,4828.94,2358.15,7804.97,2262.59,4906.5,11451.29,6622.35,3344.15,1238.86,282.91,11106.19,2207.62,2692.58,2949.94,143.36,68.78,7804.97,0.0,7607.19,4566.94,1127.17,910.42,1535.68,10627.61,944.9,5984.47,9486.04,5640.24,9336.47,2613.33,1301.03,4906.5,21.2,5640.24,88.87,143.56,378.96,3510.5,42.02,8.5,29.16,1186.79,35.15,1751.61,3059.46,1025.71,524.03,6376.82,3445.68,5636.81,7615.68,5997.5,7403.88,500.4,1661.53,2489.11,3989.57,5075.28,67.29,624.96,2475.41,7390.47,5987.01,6601.15,6951.7,5497.1,958.41,1485.58,334.39,3682.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUPA,4.91,23.67,144.56,508.99,6.48,0.0,521.94,358.75,186.14,0.0,180.77,521.94,7.96,0.0,226.03,7.96,272.79,67.26,168.32,4.13,7.96,40.84,133.42,0.0,0.0,306.31,139.39,234.0,4.12,303.4,0.0,543.66,206.8,217.03,19.03,186.09,357.95,1.15,0.86,26.49,291.92,299.91,436.58,264.83,453.56,457.96,166.04,271.75,288.48,4.12,582.4,314.28,365.37,5.74,4.31,7.96,436.58,0.0,174.69,160.43,343.16,35.91,33.48,511.47,34.36,220.18,163.4,523.39,487.25,143.09,0.0,453.56,18.61,523.39,8.13,10.46,5.49,165.87,8.78,10.22,0.0,37.2,30.94,32.95,360.76,443.02,5.4,172.14,286.97,152.92,184.91,238.14,183.85,81.64,202.58,141.72,80.37,203.88,7.96,0.0,365.91,160.18,182.76,147.43,508.99,156.51,435.05,52.72,4.12,178.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSHIL,1.79,1.27,39.97,170.99,6.29,0.0,173.57,46.92,161.84,0.0,126.24,173.57,14.4,0.0,57.43,14.4,74.86,30.92,92.57,0.01,14.4,16.65,136.74,1.5,0.0,59.63,148.62,71.83,0.01,47.33,7.94,132.91,99.55,88.37,0.0,87.12,65.91,0.4,0.0,17.1,34.54,61.14,183.57,60.46,202.42,115.58,81.04,50.26,61.8,0.01,125.2,74.03,36.83,4.7,0.49,14.4,183.57,0.0,84.27,42.11,31.17,20.66,18.44,123.74,28.35,169.73,90.78,188.84,141.37,82.75,1.32,202.42,1.89,188.84,0.01,6.66,5.59,165.73,1.0,1.72,1.58,24.44,1.25,15.48,56.32,109.98,6.89,40.83,65.32,138.81,85.99,177.81,94.04,37.48,110.24,154.58,69.59,47.8,19.4,9.27,80.31,92.77,43.54,79.15,170.99,140.34,90.58,25.1,0.01,179.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SABTN,3.01,4.98,8.7,149.15,2.23,0.0,297.9,-13.89,157.56,0.0,16.51,297.9,34.94,0.0,136.43,37.31,203.59,42.76,63.46,18.68,47.56,20.18,118.61,0.0,0.0,202.63,79.15,161.37,94.41,57.84,0.0,58.8,60.32,38.87,13.77,34.66,61.7,12.16,0.0,29.59,17.04,0.79,167.82,156.03,220.1,64.75,47.71,0.0,11.6,59.47,109.98,237.57,71.11,1.06,13.4,24.94,167.82,0.0,70.71,22.7,-2.58,54.99,76.63,60.88,69.22,161.78,60.45,228.71,93.4,50.15,0.0,220.1,3.92,228.71,8.88,1.89,1.49,108.74,14.03,1.99,14.03,34.45,4.21,30.17,0.0,103.25,2.79,27.69,0.0,119.02,72.7,266.88,35.56,47.2,6.45,70.19,125.46,25.14,37.31,0.0,99.01,30.58,30.55,43.79,149.15,219.69,65.94,38.95,78.67,104.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SADBHAV,125.92,121.46,736.49,2530.23,36.65,0.0,2290.35,2086.94,843.81,0.0,753.78,2290.35,17.15,0.0,817.42,17.15,957.22,375.57,1088.38,527.79,38.32,1116.59,535.72,63.52,0.0,1334.91,330.26,832.52,531.26,801.34,246.4,2928.02,848.17,1234.66,0.0,1072.67,1454.31,0.0,90.11,178.2,636.92,140.62,1505.63,918.91,1820.53,1622.11,985.2,102.19,123.36,538.45,2458.02,1352.06,1223.36,21.76,0.0,15.09,1505.63,0.0,839.08,731.87,1447.44,761.68,1302.79,2535.82,1036.89,930.56,962.46,3179.24,2008.75,812.37,109.52,1820.53,216.21,3179.24,569.41,22.96,76.17,508.46,0.0,2.0,0.0,221.47,161.99,1359.15,213.37,1660.89,35.11,999.4,163.82,554.99,841.08,674.28,1207.41,151.4,609.6,498.19,1015.06,1665.1,17.16,503.28,1471.46,1085.95,906.75,768.99,2530.23,522.88,1643.74,308.09,521.0,719.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SADBHIN,0.18,0.05,11.43,2379.03,6.71,0.0,2065.5,350.51,1.71,0.0,255.0,2065.5,310.96,0.0,800.66,352.23,829.73,0.01,116.12,2133.66,28.26,445.73,1.28,92.56,0.0,532.63,1.52,828.92,414.36,1186.31,582.13,518.88,655.2,138.65,0.0,138.57,944.13,0.0,566.71,0.18,963.96,0.43,1176.48,801.47,1501.04,1016.85,52.89,0.0,0.0,211.0,1788.5,843.59,1649.86,0.02,0.0,28.26,1176.48,0.0,168.13,59.78,245.03,1005.39,1744.05,361.15,1214.77,0.06,115.94,2608.17,1275.63,500.54,416.31,1501.04,0.04,2608.17,2256.52,5.68,1.08,1.7,0.29,0.25,0.29,0.3,0.08,316.89,0.0,1342.73,3.61,37.12,0.0,0.05,168.37,1.54,89.32,0.7,255.0,1.41,800.54,67.47,352.23,464.9,1296.36,89.27,40.84,52.85,2379.03,0.84,990.5,0.43,313.32,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAGCEM,26.82,20.39,53.3,728.75,3.67,0.0,705.97,186.57,554.8,0.0,164.12,705.97,17.39,0.0,249.06,17.39,240.87,253.05,249.14,82.46,17.39,123.6,333.4,7.51,0.0,503.94,340.57,266.45,0.03,-42.55,0.0,412.75,175.82,265.46,112.19,223.3,536.58,21.54,8.81,172.92,-10.45,65.7,437.69,223.48,418.66,244.61,255.06,65.22,72.96,86.03,525.81,521.33,260.35,24.6,40.07,17.39,437.69,0.0,222.63,48.48,191.31,101.49,209.66,440.45,111.31,695.05,222.32,990.76,206.14,174.78,13.68,418.66,6.28,990.76,257.87,169.85,4.57,513.49,12.98,3.55,51.65,199.49,42.16,325.07,62.31,784.47,195.78,46.01,41.78,442.0,226.18,775.22,248.68,280.55,163.73,335.11,206.29,46.34,20.4,0.0,553.97,228.29,58.06,248.78,728.75,494.67,764.07,221.41,86.03,534.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAIL,5914.3,5923.23,4424.18,72266.47,297.96,0.0,71725.5,-46.76,64888.22,0.0,11560.89,71725.5,4130.53,0.0,36894.11,4130.53,42666.35,31470.45,28073.8,1291.75,4130.53,12661.0,36168.61,12754.41,0.0,39374.25,16777.4,41024.64,919.07,5791.66,16936.53,31583.13,16909.55,27601.37,29195.82,21257.32,35065.37,35890.85,11311.17,25683.7,9138.6,14679.53,62525.21,38535.82,66933.05,30831.85,21693.25,16008.21,15711.35,718.36,33043.37,43504.78,5442.0,3850.35,33650.54,4130.53,62525.21,0.0,25121.18,5481.98,121.55,6549.11,9809.76,28195.35,7281.75,77395.52,22159.5,74909.58,30820.5,16134.04,12705.81,66933.05,6716.86,74909.58,1395.48,289.09,2855.95,42461.1,24928.1,6508.71,23276.25,27103.71,6344.05,10074.37,17736.37,36009.06,2305.24,3143.49,15200.82,45925.07,31629.89,84162.76,25028.84,33878.15,8746.16,26770.65,18416.09,2921.69,4130.53,20484.43,39195.9,19105.61,3192.0,14976.39,72266.47,50284.61,31878.53,28719.61,720.2,53874.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAKHTISUG,40.1,93.99,110.74,1178.06,20.58,0.0,1197.01,-199.14,1433.82,0.0,553.46,1197.01,96.21,0.0,30.27,96.21,453.69,402.2,876.61,163.99,96.21,419.49,701.24,342.7,0.0,-79.12,826.91,487.85,163.09,-306.51,118.84,568.6,626.29,977.83,149.45,867.74,-87.57,148.75,178.23,250.55,-88.65,104.17,1470.9,-40.12,1165.16,628.47,717.11,98.94,108.94,163.11,785.67,392.48,-192.16,16.17,148.93,36.81,1470.9,0.0,722.0,45.71,-140.91,402.62,501.05,735.7,447.47,1407.3,836.51,1035.86,630.86,693.39,158.02,1165.16,28.85,1035.86,164.01,18.45,6.84,1498.23,149.88,45.74,118.76,306.22,110.09,490.71,99.51,437.23,53.75,120.23,130.84,647.91,767.74,1399.86,937.37,447.63,640.34,762.06,517.23,21.72,118.85,81.4,365.84,843.39,131.36,688.26,1178.06,612.38,-21.47,357.19,163.09,1465.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAKSOFT,5.45,5.25,13.18,89.92,2.85,0.0,86.51,5.18,11.21,0.0,2.06,86.51,10.36,0.0,40.35,10.39,53.77,10.21,12.39,79.87,10.23,5.38,1.03,25.0,0.0,46.5,1.79,50.51,80.08,12.19,18.51,14.9,11.0,11.36,0.0,5.69,54.01,0.0,18.65,8.96,10.61,0.0,78.84,43.53,77.83,16.95,6.34,0.0,0.0,66.44,16.77,56.86,5.4,0.39,0.0,10.16,78.84,0.0,8.08,14.93,8.36,3.37,5.04,20.76,5.41,11.89,6.95,106.16,20.84,7.0,22.0,77.83,4.62,106.16,99.28,0.34,0.5,10.76,0.0,1.64,0.0,9.75,5.67,5.58,0.0,71.54,2.85,12.33,0.0,1.68,9.72,12.43,8.65,10.73,3.33,1.81,13.12,9.17,10.46,21.5,64.4,3.4,8.88,1.72,89.92,1.7,61.09,10.18,63.83,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
